node_id,x,y,z
651,1196.22,280.627,192.228
652,1196.2,280.632,153.339
653,1189.2,283.597,192.075
654,1189.18,283.602,155.027
655,1182.24,286.54,191.788
656,1182.23,286.544,156.846
657,1175.35,289.456,191.364
658,1175.35,289.458,158.797
659,1219.01,377.275,190.025
661,1167.36,292.837,190.658
662,1167.37,292.831,161.234
663,1190.39,336.241,189.862
665,1349.59,261.359,149.572
666,1349.58,261.363,180.369
667,1359.32,254.953,178.307
668,1359.35,254.933,149.915
669,1342.29,266.163,181.826
670,1342.29,266.162,149.366
671,1335.08,270.909,183.191
672,1335.08,270.909,149.219
673,1327.98,275.588,184.462
674,1327.97,275.591,149.138
675,1320.97,280.2,185.639
676,1320.97,280.204,149.136
677,1314.07,284.746,186.726
678,1314.06,284.752,149.213
679,1307.26,289.229,187.722
680,1307.25,289.235,149.376
681,1300.55,293.648,188.628
682,1300.54,293.654,149.633
683,1293.93,298.005,189.442
684,1293.92,298.012,149.986
685,1287.41,302.302,190.163
686,1287.4,302.309,150.439
687,1280.97,306.539,190.786
688,1280.96,306.546,150.994
689,1274.62,310.72,191.317
690,1274.61,310.725,151.656
691,1268.36,314.843,191.754
692,1268.35,314.847,152.419
693,1262.18,318.91,192.094
694,1262.18,318.914,153.295
695,1256.09,322.923,192.344
696,1256.08,322.927,154.266
697,1250.07,326.883,192.492
698,1250.07,326.887,155.339
699,1244.13,330.793,192.57
700,1244.13,330.793,156.524
701,1238.28,334.645,192.502
702,1238.28,334.649,157.804
703,1232.5,338.452,192.366
704,1232.5,338.454,159.189
705,1226.8,342.208,192.113
706,1226.8,342.21,160.665
707,1221.16,345.917,191.751
708,1221.16,345.917,162.223
709,1215.61,349.577,191.271
710,1215.61,349.577,163.86
713,1209.47,353.619,190.571
714,1209.47,353.615,165.779
717,1355.03,242.657,148.298
718,1344.77,248.49,147.898
719,1344.76,248.496,179.379
720,1354.98,242.685,177.298
721,1337.11,252.843,147.654
722,1337.11,252.844,180.858
723,1329.54,257.149,182.254
724,1329.54,257.148,147.471
725,1322.05,261.401,183.564
726,1322.05,261.402,147.353
727,1314.67,265.596,184.787
728,1314.67,265.599,147.317
729,1307.39,269.739,185.927
730,1307.38,269.744,147.362
731,1300.19,273.831,186.985
732,1300.18,273.836,147.496
733,1293.08,277.87,187.951
734,1293.07,277.876,147.722
735,1286.06,281.86,188.829
736,1286.05,281.866,148.046
737,1279.13,285.799,189.614
738,1279.12,285.806,148.472
739,1272.28,289.69,190.305
740,1272.27,289.697,149.002
741,1265.52,293.534,190.901
742,1265.51,293.54,149.641
743,1258.84,297.331,191.4
744,1258.84,297.335,150.394
745,1252.24,301.082,191.799
746,1252.23,301.088,151.256
747,1245.72,304.788,192.101
748,1245.71,304.794,152.237
749,1239.28,308.45,192.299
750,1239.27,308.455,153.329
751,1232.91,312.07,192.411
752,1232.91,312.073,154.538
753,1226.62,315.644,192.38
754,1226.62,315.648,155.862
755,1220.41,319.177,192.27
756,1220.4,319.181,157.3
